CustomerID,Recency,Frequency,Monetary,Monetary_log,Segment,SegmentName
12347.0,2,7,4310.0,8.368925174747135,2,Champions
12348.0,75,4,1797.24,7.494563687769957,2,Champions
12349.0,19,1,1757.55,7.472244884833674,2,Champions
12350.0,310,1,334.4,5.815323849389109,1,At Risk
12352.0,36,11,1545.41,7.343691394505391,2,Champions
12353.0,204,1,89.0,4.499809670330265,1,At Risk
12354.0,232,1,1079.4,6.985086621918461,1,At Risk
12355.0,214,1,459.4,6.132095676847728,1,At Risk
12356.0,23,3,2811.43,7.941804157314053,2,Champions
12357.0,33,1,6207.67,8.733701981297274,2,Champions
12358.0,2,2,1168.06,7.063955286074528,0,At Risk
12359.0,8,6,6245.53,8.739781388549858,2,Champions
12360.0,52,3,2662.06,7.887231116540211,2,Champions
12361.0,287,1,189.9,5.251749730731702,1,At Risk
12362.0,3,13,5154.58,8.547834902246198,2,Champions
12363.0,110,2,552.0,6.315358001522335,0,At Risk
12364.0,8,4,1313.1,7.180907299649593,0,At Risk
12365.0,291,3,320.69,5.773588348900164,1,At Risk
12367.0,4,1,168.9,5.135210028677887,0,At Risk
12370.0,51,4,3545.69,8.173770053153254,2,Champions
12371.0,45,2,1887.96,7.543781692052325,2,Champions
12372.0,72,3,1298.04,7.169380809114136,0,At Risk
12373.0,311,1,364.6,5.901539839579995,1,At Risk
12374.0,25,1,742.9300000000001,6.6119469443852195,0,At Risk
12375.0,3,3,455.42,6.1234134382372645,0,At Risk
12377.0,315,2,1628.12,7.395795270713971,1,At Risk
12378.0,130,1,4008.62,8.29645175271804,2,Champions
12379.0,82,3,850.29,6.746752846080739,0,At Risk
12380.0,22,5,2720.56,7.908960524296672,2,Champions
12381.0,5,6,1803.96,7.49829370985661,2,Champions
12383.0,185,6,1839.31,7.517689314673032,2,Champions
12384.0,29,3,566.16,6.340641450869357,0,At Risk
12386.0,338,2,401.9,5.998688392197302,1,At Risk
12388.0,16,6,2780.66,7.930803150780256,2,Champions
12390.0,80,1,549.84,6.311444385858925,0,At Risk
12391.0,22,1,460.89,6.1353267674944725,0,At Risk
12393.0,72,4,1582.6000000000001,7.3674560152319755,2,Champions
12394.0,64,2,1272.48,7.149508589545504,0,At Risk
12395.0,16,15,2998.28,8.006127538845638,2,Champions
12397.0,36,2,2409.9,7.7877554007552545,2,Champions
12398.0,46,1,1635.6599999999999,7.4004128587924045,0,At Risk
12399.0,119,4,1108.65,7.011799929268738,0,At Risk
12401.0,303,1,84.3,4.446174454497633,1,At Risk
12402.0,323,1,225.6,5.423186348593906,1,At Risk
12403.0,50,2,409.7,6.017863020962513,0,At Risk
12405.0,149,1,1710.39,7.445061184797548,0,At Risk
12406.0,22,3,3280.75,8.096132095683517,2,Champions
12407.0,50,5,1708.1200000000001,7.4437338971514055,2,Champions
12408.0,33,9,2842.57,7.952815583992643,2,Champions
12409.0,79,7,11056.93,9.310903096619207,2,Champions
12410.0,301,3,681.0799999999999,6.5251469530169,1,At Risk
12412.0,75,3,1226.88,7.1130443840624835,0,At Risk
12413.0,67,5,694.15,6.544127649615552,0,At Risk
12414.0,217,3,562.41,6.334007604663525,1,At Risk
12415.0,24,26,123725.45,11.725828359290714,2,Champions
12417.0,3,12,3578.8,8.1830622119124,2,Champions
12418.0,113,1,668.58,6.506650650150935,0,At Risk
12420.0,64,1,600.39,6.3992436425478765,0,At Risk
12421.0,16,5,806.27,6.69365818480376,0,At Risk
12422.0,96,3,803.5600000000001,6.690295544136225,0,At Risk
12423.0,1,9,1849.11,7.523000375764187,2,Champions
12424.0,163,2,1760.96,7.474182104762846,0,At Risk
12425.0,78,1,777.2,6.6569835605504535,0,At Risk
12426.0,195,1,582.73,6.369438547154207,1,At Risk
12427.0,12,5,708.37,6.564377252186778,0,At Risk
12428.0,26,12,7877.2,8.971854730362702,2,Champions
12429.0,9,4,3750.4,8.22988438262624,2,Champions
12430.0,43,1,256.4,5.5506312951620265,0,At Risk
12431.0,36,18,6416.39,8.766766771967307,2,Champions
12432.0,43,5,5059.32,8.529185001388596,2,Champions
12433.0,1,7,13375.87,9.50128237507538,2,Champions
12434.0,85,4,765.19,6.641430180758773,0,At Risk
12435.0,80,2,7829.89,8.965831447914955,2,Champions
12436.0,100,1,509.01,6.234430333369278,0,At Risk
12437.0,2,19,4896.66,8.496512819014505,2,Champions
12438.0,14,2,2906.85,7.9751692554798295,2,Champions
12441.0,367,1,173.55,5.162211233551045,1,At Risk
12442.0,3,1,172.06,5.153638355178593,0,At Risk
12444.0,21,5,5005.46,8.518484357502437,2,Champions
12445.0,22,1,133.4,4.900820428089049,0,At Risk
12446.0,58,1,1002.3100000000001,6.9110598129904375,0,At Risk
12447.0,243,1,476.49,6.168543217293113,1,At Risk
12448.0,44,1,449.45,6.110247083097449,0,At Risk
12449.0,22,4,4067.29,8.310978042729836,2,Champions
12450.0,156,2,197.88,5.292701627762401,1,At Risk
12451.0,11,6,8933.52,9.097677704829838,2,Champions
12452.0,17,3,428.57,6.062784708354025,0,At Risk
12453.0,134,1,707.09,6.562571204258897,0,At Risk
12454.0,53,2,5.684341886080802e-14,5.68434188608064e-14,0,At Risk
12455.0,73,6,2466.86,7.81110665732229,2,Champions
12456.0,44,4,3153.89,8.05670890907432,2,Champions
12457.0,58,12,1917.78,7.559444846392433,2,Champions
12458.0,71,2,947.4,6.854776354191251,0,At Risk
12461.0,94,2,826.88,6.718868216346018,0,At Risk
12462.0,2,4,1124.01,7.025547203487903,0,At Risk
12463.0,46,7,1303.63,7.1736747546517945,2,Champions
12464.0,10,8,1212.05,7.100893128209941,2,Champions
12465.0,8,3,733.89,6.599720828148736,0,At Risk
12468.0,143,3,724.0400000000001,6.586226825746526,0,At Risk
12471.0,2,49,18740.92,9.83851800518677,2,Champions
12472.0,31,13,6229.48,8.737208655362522,2,Champions
12473.0,29,9,2848.23,7.954804061320141,2,Champions
12474.0,17,30,7116.47,8.87030760418019,2,Champions
12475.0,54,1,723.38,6.585316116572351,0,At Risk
12476.0,1,20,6546.58,8.786850794711194,2,Champions
12477.0,23,9,13117.01,9.481741374164718,2,Champions
12478.0,4,1,680.99,6.525014994979364,0,At Risk
12479.0,4,3,477.3,6.170238150686251,0,At Risk
12480.0,28,4,3281.63,8.096400209353131,2,Champions
12481.0,23,11,5590.86,8.629067247834866,2,Champions
12483.0,17,13,2327.13,7.752820649216625,2,Champions
12484.0,33,8,4495.27,8.411003443151177,2,Champions
12488.0,10,3,1298.66,7.169857970780942,0,At Risk
12489.0,336,1,334.93,5.816902804925467,1,At Risk
12490.0,5,10,5417.93,8.597653657970227,2,Champions
12491.0,39,1,460.40000000000003,6.134265345739653,0,At Risk
12492.0,63,2,263.21000000000004,5.5767442414854775,0,At Risk
12493.0,166,3,416.79,6.034978913938941,1,At Risk
12494.0,10,13,1139.3500000000001,7.039090511812159,2,Champions
12497.0,82,1,1043.1,6.950910549296065,0,At Risk
12498.0,21,3,403.70000000000005,6.00314605188182,0,At Risk
12500.0,23,13,4206.27,8.344569260280856,2,Champions
12501.0,315,2,2089.68,7.645244650892818,1,At Risk
12502.0,96,5,3723.87,8.222787230875806,2,Champions
12504.0,18,4,114.0,4.74493212836325,0,At Risk
12506.0,233,1,73.5,4.310799125385514,1,At Risk
